  -7.50000000      -4.00000000      -4.00000000
  -7.50000000      -4.00000000       4.00000000
  -7.50000000      -4.00000000      -4.00000000
  -7.50000000       4.00000000      -4.00000000 
  -7.50000000      -4.00000000      -4.00000000
   7.50000000      -4.00000000      -4.00000000
  -7.50000000      -4.00000000      -4.00000000
   7.50000000      -4.00000000      -4.00000000
   7.50000000       4.00000000      -4.00000000
   7.50000000      -4.00000000      -4.00000000
   7.50000000      -4.00000000       4.00000000
   7.50000000      -4.00000000      -4.00000000
  -7.50000000      -4.00000000      -4.00000000
   7.50000000      -4.00000000      -4.00000000
   7.50000000       4.00000000      -4.00000000
   7.50000000       4.00000000       4.00000000
   7.50000000       4.00000000      -4.00000000	
   7.50000000      -4.00000000      -4.00000000
   7.50000000       4.00000000      -4.00000000
  -7.50000000       4.00000000      -4.00000000
   7.50000000       4.00000000      -4.00000000
   7.50000000       4.00000000       4.00000000
   7.50000000       4.00000000      -4.00000000
   7.50000000       4.00000000       4.00000000
   7.50000000      -4.00000000       4.00000000
   7.50000000       4.00000000       4.00000000
  -7.50000000       4.00000000       4.00000000
   7.50000000       4.00000000       4.00000000
   7.50000000      -4.00000000       4.00000000
   7.50000000      -4.00000000      -4.00000000
   7.50000000      -4.00000000       4.00000000
   7.50000000       4.00000000       4.00000000
   7.50000000      -4.00000000       4.00000000
  -7.50000000      -4.00000000       4.00000000
   7.50000000      -4.00000000       4.00000000
  -7.50000000      -4.00000000       4.00000000
  -7.50000000      -4.00000000      -4.00000000
  -7.50000000      -4.00000000       4.00000000
  -7.50000000       4.00000000       4.00000000
  -7.50000000      -4.00000000       4.00000000
   7.50000000      -4.00000000       4.00000000
  -7.50000000      -4.00000000       4.00000000
  -7.50000000       4.00000000       4.00000000
  -7.50000000      -4.00000000       4.00000000
  -7.50000000       4.00000000       4.00000000
  -7.50000000       4.00000000      -4.00000000
  -7.50000000       4.00000000       4.00000000
   7.50000000       4.00000000       4.00000000
  -7.50000000       4.00000000       4.00000000
  -7.50000000       4.00000000      -4.00000000
  -7.50000000      -4.00000000      -4.00000000
  -7.50000000       4.00000000      -4.00000000
  -7.50000000       4.00000000       4.00000000
  -7.50000000       4.00000000      -4.00000000
   7.50000000       4.00000000      -4.00000000
  -7.50000000       4.00000000      -4.00000000
